neighborhood,zipcode,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
6884,Delridge,98106,7831800110,20150115T000000,215000,3,1.0,1210,7175,1.0,0,0,3,7,1210,0,1918,0,47.5339,-122.35600000000001,1640,5850
2140,Beacon Hill,98108,3295700060,20140602T000000,500000,3,2.0,1720,5525,1.0,0,2,5,7,960,760,1941,0,47.559,-122.29799999999999,1760,5525
1604,West Seattle,98136,3013300510,20150506T000000,389950,2,1.0,820,4234,1.0,0,1,3,6,820,0,1951,0,47.5294,-122.38600000000001,1550,4236
1403,West Seattle,98126,3277800729,20141016T000000,275000,3,1.5,1170,1174,2.0,0,0,3,7,840,330,2007,0,47.5459,-122.376,1170,2537
6963,Magnolia,98199,5036300431,20150311T000000,1099880,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,47.6506,-122.391,2520,6250
4387,Ballard,98117,579000595,20140906T000000,724000,2,1.0,1560,5000,1.5,0,1,4,7,1560,0,1942,0,47.7006,-122.38600000000001,2620,5400
695,Capitol Hill,98112,1338300170,20150324T000000,2048000,5,4.0,4690,8208,2.0,0,0,3,9,3040,1650,1926,0,47.6321,-122.304,3300,8001
3137,Central Area,98122,9828202215,20140905T000000,665000,4,3.0,2160,4400,1.0,0,0,5,7,1320,840,1921,0,47.6163,-122.29299999999999,1430,4400
6146,Lake City,98115,5102400025,20140625T000000,450000,2,1.0,1380,4390,1.0,0,0,4,8,880,500,1931,0,47.6947,-122.323,1390,5234
5662,Lake City,98115,7533800295,20140819T000000,1750000,4,3.25,3460,7749,2.0,0,1,3,10,3020,440,1950,1998,47.6849,-122.273,3030,8680
1924,West Seattle,98146,1721800190,20150409T000000,300000,2,1.5,1300,6120,1.0,0,0,3,6,820,480,1945,0,47.5088,-122.338,1250,6120
5355,Northgate,98133,7405700015,20150330T000000,406000,3,1.0,1090,11292,1.0,0,0,4,7,1090,0,1952,0,47.7429,-122.35799999999999,1570,8198
5627,Northgate,98133,5727500006,20150427T000000,679990,4,2.75,3320,8653,2.0,0,0,3,8,3320,0,2014,0,47.7521,-122.334,2140,8727
2019,West Seattle,98146,3550800040,20141114T000000,223000,3,1.0,940,7980,1.0,0,0,3,6,940,0,1961,0,47.5107,-122.345,1050,7980
1041,West Seattle,98116,7579200767,20141105T000000,435000,2,2.0,1440,1170,2.0,0,0,3,9,960,480,2004,0,47.5592,-122.385,1440,1350
248,Queen Anne,98119,4232900940,20140522T000000,926300,3,1.5,1660,4800,2.0,0,0,3,8,1660,0,1907,0,47.6352,-122.35799999999999,1690,4000
157,Cascade,98109,809002610,20140718T000000,485000,4,1.0,1150,2560,1.5,0,0,3,7,1150,0,1909,0,47.6368,-122.355,1890,3000
1562,West Seattle,98126,3277801592,20140925T000000,479950,3,2.0,1820,1358,3.0,0,0,3,9,1820,0,2014,0,47.5433,-122.376,1710,1367
2408,Seward Park,98118,5249803885,20141215T000000,430000,3,1.0,1740,4800,1.0,0,0,3,8,1740,0,1952,0,47.5596,-122.27,1600,4800
1156,West Seattle,98116,7905200365,20150408T000000,550000,3,1.75,1360,5850,1.0,0,0,4,7,1000,360,1938,0,47.5711,-122.391,1540,5850
3291,Central Area,98122,1556200005,20140603T000000,847000,5,1.0,2550,4623,2.5,0,0,4,9,2550,0,1905,0,47.6092,-122.294,1570,3875
2319,Seward Park,98118,1102000196,20140527T000000,477000,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,1978,0,47.5458,-122.26799999999999,2130,8700
220,Queen Anne,98119,7011200260,20141219T000000,485000,4,2.0,1400,3600,1.0,0,0,3,7,1100,300,1900,0,47.6385,-122.37,1630,2048
5146,Northgate,98133,1999700045,20140502T000000,313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,47.7658,-122.339,1480,7940
1620,West Seattle,98136,9238900855,20150313T000000,700000,2,1.0,930,5000,1.0,0,3,3,7,930,0,1926,2013,47.5333,-122.38799999999999,1760,5228
6728,Delridge,98106,2114700530,20150122T000000,360000,4,1.0,1460,3840,1.5,0,0,3,8,1340,120,1928,0,47.533,-122.34700000000001,990,4200
4095,Ballard,98117,1254200015,20150408T000000,625000,3,2.5,2260,5500,1.5,0,0,3,7,1280,980,1910,0,47.681000000000004,-122.38799999999999,1790,5355
1499,West Seattle,98126,3278602660,20140520T000000,194000,1,1.0,820,1060,1.0,0,0,3,8,760,60,2007,0,47.5472,-122.37200000000001,1770,1853
6858,Delridge,98106,2114700500,20150418T000000,90000,1,1.0,560,4120,1.0,0,0,3,4,560,0,1947,0,47.5335,-122.348,980,4120
7107,Magnolia,98199,6821100125,20150225T000000,529500,2,1.0,900,4800,1.0,0,0,4,6,780,120,1944,0,47.6575,-122.4,1270,5520
5898,Lake City,98115,5683500030,20150320T000000,489000,4,1.0,1150,5217,1.5,0,0,3,7,1150,0,1951,0,47.6806,-122.287,1220,5217
6082,Lake City,98115,5101400561,20141015T000000,250000,2,1.0,890,6380,1.0,0,0,3,6,890,0,1951,0,47.691,-122.303,990,6380
2430,Seward Park,98118,1604600660,20140512T000000,350000,2,1.0,910,4500,1.5,0,0,4,7,910,0,1906,0,47.5633,-122.289,1270,3500
6064,Lake City,98115,1566100130,20140820T000000,319000,2,1.0,780,8271,1.0,0,0,4,6,780,0,1924,0,47.7,-122.3,2220,8271
4569,Northgate,98103,3797000295,20150312T000000,492000,2,1.0,880,2970,1.0,0,0,3,7,880,0,1927,0,47.6868,-122.34899999999999,1370,3060
5934,Lake City,98115,443000060,20141210T000000,595000,3,2.25,2400,16301,1.0,0,0,3,8,1400,1000,1962,0,47.6901,-122.28200000000001,1720,9828
2890,Rainier Valley,98178,9282801950,20140818T000000,279000,4,1.0,1210,6000,1.5,0,2,3,7,1210,0,1943,0,47.5026,-122.234,1470,6000
1307,West Seattle,98126,2695600375,20141110T000000,354000,2,1.0,850,5225,1.0,0,0,3,7,850,0,1949,0,47.5311,-122.38,1230,5225
4934,Northgate,98103,9550201495,20141003T000000,765000,3,1.75,2120,5000,2.0,0,0,3,7,1980,140,1920,2010,47.6666,-122.331,2020,5000
1198,West Seattle,98116,6371000148,20141125T000000,439108,2,1.5,1130,1340,2.0,0,0,3,8,910,220,2008,0,47.5761,-122.41,1310,1340
6007,Lake City,98115,2887700995,20140508T000000,530000,4,2.75,2280,2850,1.5,0,0,4,7,1540,740,1930,0,47.6871,-122.307,1680,3800
6760,Delridge,98106,4302201085,20150506T000000,546940,3,1.0,1470,7680,1.0,0,0,3,7,1220,250,1946,0,47.5276,-122.359,1470,6784
3135,Central Area,98122,9184700535,20150413T000000,1075000,4,2.25,2820,5000,1.5,0,2,4,9,1800,1020,1926,0,47.6097,-122.287,2880,6000
6604,Lake City,98125,7351200295,20150114T000000,1150000,3,1.75,1760,6788,2.0,1,4,3,7,1760,0,1940,1960,47.7336,-122.28399999999999,1630,7588
1918,West Seattle,98146,1207200010,20150318T000000,245000,4,2.0,1830,10416,1.0,0,0,3,7,1370,460,1958,0,47.4878,-122.34100000000001,1830,9271
2984,Rainier Valley,98178,2988800065,20141202T000000,281000,2,1.0,1280,12500,1.0,0,0,3,7,1060,220,1951,0,47.4833,-122.23700000000001,1460,17771
2512,Seward Park,98118,3336002215,20150225T000000,319950,2,1.0,1240,5500,1.5,0,0,3,6,1240,0,1921,0,47.5257,-122.26299999999999,1520,5500
4189,Ballard,98117,461002615,20141202T000000,580000,5,2.5,2720,5000,1.5,0,0,4,7,1530,1190,1939,0,47.6827,-122.376,1210,5000
4485,Ballard,98117,2856101105,20140527T000000,488000,3,2.5,1590,2550,3.0,0,0,3,7,1590,0,1985,0,47.6772,-122.39299999999999,1260,5100
4034,Ballard,98117,534000075,20140506T000000,329350,2,1.0,720,6687,1.0,0,0,3,6,720,0,1942,0,47.7001,-122.36200000000001,840,6687
900,West Seattle,98116,4432600075,20150128T000000,725000,4,2.0,2110,4140,2.0,0,0,3,9,1710,400,1925,2003,47.5836,-122.387,1440,4420
517,University District,98105,1928300640,20140828T000000,541000,3,1.75,1410,4080,1.5,0,0,4,7,1410,0,1927,0,47.6695,-122.32,1820,4080
3264,Central Area,98122,9828201020,20141031T000000,427500,3,1.0,1480,4200,1.5,0,0,3,7,1480,0,1925,0,47.6147,-122.29799999999999,1460,3600
3650,Central Area,98144,161000120,20141118T000000,650000,4,2.0,2850,4497,1.5,0,1,3,7,1730,1120,1910,0,47.5876,-122.292,2450,6000
5246,Northgate,98133,726049232,20140623T000000,350000,3,1.75,1660,10150,1.5,0,0,3,7,1660,0,1957,0,47.7512,-122.34200000000001,1640,8906
4977,Northgate,98103,9266700845,20150429T000000,325000,2,1.0,830,5100,1.0,0,0,3,6,830,0,1941,0,47.6932,-122.346,1050,5100
103,Downtown,98102,1959700225,20150224T000000,720000,3,1.75,1370,1990,3.0,0,0,3,9,1370,0,2014,0,47.6434,-122.324,1730,1990
982,West Seattle,98116,5019500215,20150115T000000,495000,2,1.75,1280,4000,1.0,0,0,4,7,730,550,1929,0,47.5798,-122.383,2250,5382
4582,Northgate,98103,1972201820,20141016T000000,610000,4,2.0,2130,2620,1.5,0,0,5,7,1650,480,1919,0,47.6515,-122.346,1330,2719
7095,Magnolia,98199,8127700735,20140616T000000,1095000,4,4.0,3530,8400,2.0,0,0,5,8,2630,900,1958,0,47.6402,-122.395,2340,8216
6381,Lake City,98125,6412100092,20150105T000000,362500,3,1.0,1520,9507,1.0,0,0,3,7,1520,0,1954,0,47.7162,-122.324,1360,7219
6832,Delridge,98106,7831800411,20141020T000000,250000,4,1.75,1510,5500,1.5,0,0,3,7,1510,0,1920,0,47.535,-122.359,1320,6431
5924,Lake City,98115,3359500960,20150321T000000,480000,3,2.0,1300,3000,2.0,0,0,3,7,1300,0,1986,0,47.6728,-122.325,1670,4500
3257,Central Area,98122,1934800142,20141203T000000,375000,2,1.5,1050,1046,2.0,0,0,3,8,960,90,2007,0,47.6028,-122.309,1470,1768
3427,Central Area,98144,7132300042,20141028T000000,247300,2,2.0,1140,1118,2.0,0,0,3,7,1040,100,2009,0,47.596000000000004,-122.311,1140,1118
90,Downtown,98102,2025049206,20140611T000000,399950,2,1.0,710,1131,2.0,0,0,4,7,710,0,1943,0,47.6413,-122.329,1370,1173
2296,Beacon Hill,98108,6056100165,20141201T000000,175003,3,1.5,1390,1882,2.0,0,0,3,7,1390,0,2014,0,47.5667,-122.29700000000001,1490,2175
2857,Rainier Valley,98178,179000350,20141105T000000,194000,3,1.5,1010,5000,1.0,0,0,3,6,1010,0,1943,0,47.4925,-122.27799999999999,980,5000
1299,West Seattle,98126,2349300090,20140516T000000,340000,3,1.0,1250,4800,1.0,0,0,4,7,1250,0,1951,0,47.5517,-122.381,1404,4800
1167,West Seattle,98116,194000145,20150312T000000,745000,4,2.75,2410,5650,1.5,0,0,5,8,2070,340,1909,0,47.5651,-122.391,1960,5650
3126,Central Area,98122,4003000053,20140813T000000,765000,3,2.75,2250,9600,2.5,0,0,4,9,1830,420,1909,1991,47.6033,-122.287,2060,4980
5951,Lake City,98115,5207200160,20141010T000000,490000,3,2.25,2380,6000,1.0,0,0,3,8,2040,340,1961,0,47.6955,-122.275,1680,7200
169,Cascade,98109,2652501215,20140702T000000,860000,4,1.75,1880,3720,1.5,0,0,4,7,1880,0,1924,0,47.6431,-122.35600000000001,2090,4095
1584,West Seattle,98136,4315700060,20150303T000000,378000,2,2.0,1300,3850,1.0,0,0,3,7,800,500,1963,0,47.5395,-122.39,950,5500
2570,Seward Park,98118,8842400071,20140507T000000,352000,5,2.5,2420,8560,1.0,0,2,3,7,1620,800,1978,0,47.532,-122.285,2210,7040
1882,West Seattle,98146,7832800015,20150226T000000,250000,3,1.0,1480,6750,1.0,0,0,3,7,1480,0,1958,0,47.505,-122.366,1480,7594
1504,West Seattle,98126,9358001732,20150428T000000,400000,3,2.5,1390,2815,2.0,0,0,3,8,1390,0,1999,0,47.566,-122.366,1390,3700
1723,West Seattle,98136,2594200230,20150424T000000,680000,2,1.0,1020,8442,1.0,0,4,4,7,920,100,1941,0,47.5145,-122.391,2550,10323
115,Cascade,98109,2721600125,20150205T000000,1175000,5,2.75,2560,5618,1.5,0,2,3,8,2220,340,1923,0,47.6416,-122.355,2740,4000
5220,Northgate,98133,1445200110,20150421T000000,275000,2,1.5,1160,1103,2.0,0,0,3,7,890,270,2006,0,47.7677,-122.315,1160,1086
1676,West Seattle,98136,2719100115,20141104T000000,690000,3,2.0,2360,6149,2.0,0,3,3,8,1560,800,1926,1989,47.5433,-122.384,2000,6149
6815,Delridge,98106,3438500981,20150328T000000,280000,2,1.0,790,13170,1.0,0,0,3,6,790,0,1947,0,47.5487,-122.35700000000001,970,12700
1271,West Seattle,98126,123039313,20150410T000000,425000,4,2.5,1920,9000,2.0,0,0,2,7,1920,0,1989,0,47.5153,-122.37,1530,10474
1217,West Seattle,98116,7904700032,20141002T000000,375000,2,1.5,1130,912,2.0,0,0,3,8,1000,130,2006,0,47.5638,-122.38799999999999,1500,1474
1637,West Seattle,98136,3948900050,20150427T000000,616000,3,3.25,2130,2306,2.0,0,1,5,7,1420,710,1924,0,47.5424,-122.391,1560,4500
4038,Ballard,98117,2880100160,20141119T000000,1010000,4,3.5,3350,3752,2.0,0,0,3,9,2550,800,2007,0,47.6782,-122.365,1050,4960
2227,Beacon Hill,98108,2185000685,20141124T000000,208417,2,1.0,840,4200,1.0,0,0,3,5,840,0,1938,0,47.5292,-122.316,830,5000
2563,Seward Park,98118,3904100035,20140508T000000,235000,2,1.0,1270,3008,1.0,0,0,4,6,650,620,1923,0,47.5351,-122.279,1270,1514
2785,Seward Park,98118,1604601804,20150416T000000,532000,3,3.75,2260,2050,2.0,0,0,3,9,1170,1090,2010,0,47.566,-122.29,2130,3082
1548,West Seattle,98126,9284801500,20141211T000000,399950,3,3.0,1860,2875,2.0,0,0,3,8,1710,150,2009,0,47.5511,-122.37299999999999,1350,4830
2192,Beacon Hill,98108,13002495,20140707T000000,295000,3,1.5,1640,7222,2.0,0,0,4,7,1640,0,1908,0,47.5215,-122.33,1240,5100
7182,Magnolia,98199,2771604120,20141111T000000,970000,4,1.75,4060,4000,2.0,0,3,3,10,2890,1170,1953,1995,47.6375,-122.389,1860,4000
6105,Lake City,98115,5101400994,20140717T000000,361600,2,1.0,760,6380,1.0,0,0,3,6,760,0,1941,0,47.6914,-122.31,1590,6380
2605,Seward Park,98118,7950302255,20150324T000000,404500,2,2.0,1320,3060,1.5,0,0,4,6,1320,0,1910,0,47.5643,-122.28399999999999,1410,3264
724,Capitol Hill,98112,1337801060,20150305T000000,1025000,3,1.0,2050,4800,2.0,0,0,3,8,1950,100,1922,0,47.6315,-122.311,2220,4800
6242,Lake City,98125,6370000070,20140919T000000,359000,4,1.5,1890,6052,1.0,0,0,4,7,1890,0,1955,0,47.7055,-122.3,1510,6072
536,University District,98105,8819900220,20150205T000000,686500,2,1.75,1390,5025,1.5,0,0,4,8,1390,0,1928,0,47.6701,-122.288,2160,5000
599,University District,98105,1928300620,20140608T000000,455000,3,1.0,1300,3550,1.5,0,0,3,7,1300,0,1927,0,47.6696,-122.32,1410,4080
4652,Northgate,98103,2917200615,20150325T000000,486700,2,1.0,1200,6278,1.0,0,0,3,7,1080,120,1942,0,47.7001,-122.351,1200,6211
4950,Northgate,98103,4310702759,20150312T000000,326000,2,1.5,1030,798,3.0,0,0,3,8,1030,0,2008,0,47.6975,-122.34,1020,1026
858,Capitol Hill,98112,9828701745,20150123T000000,480000,2,1.0,710,4800,1.0,0,0,2,6,710,0,1950,0,47.6212,-122.29799999999999,1480,1721
7031,Magnolia,98199,6917700356,20140514T000000,405100,2,1.0,840,3522,1.0,0,0,3,6,840,0,1947,0,47.6575,-122.395,1390,4800
3847,Ballard,98107,1982201255,20141114T000000,357950,2,1.0,810,3880,1.0,0,0,3,7,810,0,1952,0,47.6631,-122.365,900,4365
5150,Northgate,98133,7771300125,20150408T000000,487000,3,2.0,2590,14052,1.0,0,0,5,8,1720,870,1948,0,47.7357,-122.333,1570,8162
2361,Seward Park,98118,5249804510,20140716T000000,655000,3,2.0,1410,4800,1.5,0,0,4,8,1410,0,1927,0,47.5597,-122.26700000000001,1820,7200
4324,Ballard,98117,7518503685,20141009T000000,402000,2,1.0,710,5100,1.0,0,0,5,7,710,0,1905,0,47.6765,-122.381,1530,5100
4524,Ballard,98117,6824100029,20141031T000000,474950,3,3.0,1530,1568,3.0,0,0,3,8,1530,0,2012,0,47.6998,-122.367,1460,1224
7130,Magnolia,98199,8127700132,20150326T000000,1236300,5,3.5,3180,4628,2.0,0,0,3,10,2420,760,2001,0,47.6423,-122.39399999999999,2060,4640
901,West Seattle,98116,9274202270,20140818T000000,625000,2,1.5,1490,5750,1.5,0,0,4,7,1190,300,1900,0,47.5872,-122.39,1590,4025
1051,West Seattle,98116,5013500400,20150326T000000,440000,4,1.0,1440,6678,1.0,0,0,3,7,1040,400,1950,0,47.571000000000005,-122.39200000000001,1320,6678
3903,Ballard,98107,1175001075,20140916T000000,957000,4,3.0,2370,3836,2.0,0,0,3,9,1750,620,1969,2008,47.6718,-122.39399999999999,1690,4698
6909,Delridge,98106,3278613210,20140728T000000,358990,3,3.25,1710,2171,2.0,0,0,3,7,1400,310,2014,0,47.5434,-122.368,1380,1300
147,Cascade,98109,9301301145,20141024T000000,465000,1,1.0,1020,3200,1.0,0,0,3,7,1020,0,1927,0,47.6361,-122.34299999999999,1670,3480
5579,Northgate,98133,9371700085,20140722T000000,425000,3,1.75,1380,8182,1.0,0,0,5,7,1380,0,1942,0,47.7513,-122.34899999999999,1300,8188
2603,Seward Park,98118,3330500335,20150422T000000,325000,2,1.0,1010,6180,1.0,0,0,3,6,1010,0,1903,0,47.5532,-122.28,1560,6180
3913,Ballard,98107,9287802380,20140522T000000,940000,4,2.75,2080,4000,1.5,0,0,3,8,2080,0,1912,2000,47.6737,-122.35799999999999,1730,5000
7086,Magnolia,98199,269000615,20140516T000000,875000,3,2.0,2220,6641,1.0,0,2,4,7,1220,1000,1947,0,47.6426,-122.38799999999999,1800,5900
7147,Magnolia,98199,2771603050,20141204T000000,717500,3,1.0,2090,4000,1.5,0,2,3,8,1890,200,1931,0,47.6393,-122.39200000000001,2090,4000
6513,Lake City,98125,2926049376,20150420T000000,220000,2,1.0,1060,10423,1.5,0,0,3,7,1060,0,1965,0,47.705,-122.31299999999999,2240,10200
3295,Central Area,98122,1186000095,20140708T000000,890000,4,2.75,2310,4020,3.0,0,0,5,8,2310,0,1979,0,47.6154,-122.291,2270,3750
313,Queen Anne,98119,2397100975,20150220T000000,1313000,6,3.0,2980,7200,1.5,0,2,3,8,2980,0,1911,0,47.6366,-122.36200000000001,1720,3600
4678,Northgate,98103,6430500293,20141112T000000,395000,2,1.5,1010,3060,1.0,0,0,4,7,1010,0,1918,0,47.6897,-122.354,1160,4080
6665,Delridge,98106,1773100121,20140623T000000,286000,3,2.75,1100,750,2.0,0,0,3,7,780,320,2008,0,47.5601,-122.363,1170,4800
4513,Ballard,98117,9376301111,20140630T000000,457000,3,2.5,1220,1330,2.0,0,0,3,8,1010,210,2008,0,47.6904,-122.37,1360,3750
1729,West Seattle,98136,2346800180,20150309T000000,620000,5,1.0,2230,16800,1.5,0,3,4,7,1700,530,1923,0,47.5161,-122.395,2730,18400
4268,Ballard,98117,6133100125,20141008T000000,715500,3,2.25,2410,9668,1.0,0,1,4,8,1540,870,1965,0,47.6996,-122.391,2510,5250
6979,Magnolia,98199,2864600105,20140624T000000,819000,3,3.5,2130,6150,2.0,0,2,5,8,1530,600,1908,0,47.6491,-122.405,2040,5381
3668,Central Area,98144,1498300875,20140814T000000,445000,3,2.5,1550,930,2.0,0,0,3,8,1060,490,2006,0,47.5857,-122.314,1550,1301
5787,Lake City,98115,1868900675,20140912T000000,895000,4,2.75,2640,4000,2.0,0,0,5,8,1730,910,1925,0,47.6727,-122.29700000000001,1530,3740
218,Queen Anne,98119,1860600135,20140502T000000,2384000,5,2.5,3650,9050,2.0,0,4,5,10,3370,280,1921,0,47.6345,-122.367,2880,5400
714,Capitol Hill,98112,8805900080,20150430T000000,750000,3,2.0,1840,2825,1.0,0,0,3,7,1040,800,1920,0,47.6428,-122.302,1820,3750
5016,Northgate,98103,1324300018,20141121T000000,476000,2,2.25,1140,1332,3.0,0,0,3,8,1140,0,1999,0,47.6543,-122.35600000000001,1140,1267
6926,Delridge,98106,2895800390,20140807T000000,359800,5,2.5,2170,2752,2.0,0,0,3,8,2170,0,2014,0,47.5165,-122.346,1800,2752
7017,Magnolia,98199,5040800015,20141001T000000,703011,2,1.0,1370,5922,1.0,0,2,3,8,1130,240,1941,0,47.6473,-122.406,2460,6759
5248,Northgate,98133,6713700025,20140515T000000,300000,3,1.0,1220,13000,1.0,0,0,4,7,1220,0,1955,0,47.7608,-122.353,1510,12600
6716,Delridge,98106,3438500797,20140708T000000,368000,4,1.75,2100,11942,1.0,0,0,3,7,1030,1070,1964,0,47.55,-122.35600000000001,1170,6986
925,West Seattle,98116,9151600695,20150304T000000,625000,3,2.0,2140,3600,2.0,0,0,3,8,1680,460,1911,1997,47.5846,-122.383,2340,5400
2866,Rainier Valley,98178,3352400004,20150129T000000,184500,2,1.0,720,5880,1.0,0,0,3,6,720,0,1940,0,47.5056,-122.27,1440,7200
5114,Northgate,98103,9266700190,20150511T000000,245000,1,1.0,390,2000,1.0,0,0,4,6,390,0,1920,0,47.6938,-122.34700000000001,1340,5100
4221,Ballard,98117,6021501635,20141102T000000,825000,4,2.5,2560,4000,2.0,0,0,5,8,1610,950,1929,0,47.6885,-122.38600000000001,1760,4000
7025,Magnolia,98199,6821600265,20150305T000000,425000,2,1.0,1270,6000,1.0,0,0,3,7,1270,0,1939,0,47.6482,-122.39299999999999,1770,6000
718,Capitol Hill,98112,5605000595,20141209T000000,685000,6,2.25,2770,5854,1.5,0,0,3,8,2120,650,1921,0,47.6466,-122.304,2300,5450
1785,West Seattle,98136,9169100175,20150507T000000,700000,4,2.0,2490,4700,1.0,0,0,4,7,1690,800,1952,0,47.5254,-122.39200000000001,2240,5000
6561,Lake City,98125,2826049160,20140905T000000,375000,4,1.75,1680,6834,1.5,0,0,3,7,1680,0,1948,0,47.716,-122.307,950,7425
2076,West Seattle,98146,9382200025,20150115T000000,220000,3,1.0,1090,6320,1.0,0,0,3,6,890,200,1954,0,47.4976,-122.35,1460,7080
3732,Ballard,98107,2767603215,20140516T000000,490000,3,2.0,1450,2400,1.5,0,0,3,8,1450,0,1900,2003,47.6726,-122.381,1450,4275
3687,Central Area,98144,3319500334,20150327T000000,441000,2,1.0,1290,1289,2.0,0,0,3,7,1030,260,2005,0,47.6006,-122.305,1290,1332
3721,Ballard,98107,2768000400,20141230T000000,640000,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,47.6702,-122.36200000000001,1730,4700
3339,Central Area,98122,9828702851,20150121T000000,730000,3,2.5,1860,1290,2.0,0,0,3,9,1240,620,2010,0,47.6179,-122.301,1710,1525
203,Cascade,98109,5457801833,20150127T000000,850000,2,2.5,1611,2210,2.0,0,2,3,10,1611,0,2005,0,47.6291,-122.34700000000001,2070,2182
3891,Ballard,98107,2768300655,20150317T000000,630000,3,3.0,1880,2200,2.0,0,0,3,8,1520,360,2007,0,47.6666,-122.367,1500,1426
6567,Lake City,98125,1455600062,20141021T000000,689000,3,2.5,2080,9612,1.0,0,3,4,8,1700,380,1940,0,47.7293,-122.28299999999999,2560,10202
3655,Central Area,98144,3083001095,20140824T000000,410000,3,1.75,1760,3520,1.0,0,0,3,7,1160,600,1966,0,47.5773,-122.303,1840,5000
5598,Northgate,98133,1326039061,20141020T000000,429950,3,1.75,1430,9750,1.0,0,0,5,7,1430,0,1962,0,47.7441,-122.35700000000001,1630,9282
6904,Delridge,98106,2114700368,20141118T000000,299000,2,2.5,1400,1262,2.0,0,0,3,8,1160,240,2008,0,47.5342,-122.34899999999999,1060,1524
6557,Lake City,98125,1453601502,20150226T000000,303697,4,2.0,2520,7334,1.0,0,0,3,7,1600,920,1955,0,47.7263,-122.291,2040,7937
108,Cascade,98109,5457300478,20150513T000000,453500,2,1.75,1000,1760,1.0,0,0,4,6,600,400,1924,0,47.6261,-122.355,2120,2802
372,Queen Anne,98119,2397100705,20140714T000000,1518634,4,4.25,3650,5328,1.5,0,0,3,9,2330,1320,1907,2014,47.638000000000005,-122.36200000000001,1710,3600
3625,Central Area,98144,1250201640,20140507T000000,775000,3,2.0,2540,7200,1.5,0,3,4,8,1600,940,1905,0,47.5972,-122.292,2040,5900
4907,Northgate,98103,4083300620,20150227T000000,930000,3,1.75,2460,4240,1.0,0,0,4,7,1230,1230,1925,0,47.6593,-122.337,1700,4240
6999,Magnolia,98199,1193000115,20150429T000000,708000,2,1.0,1120,5250,1.0,0,0,3,7,950,170,1938,0,47.6496,-122.39200000000001,1510,5250
1326,West Seattle,98126,9358002375,20150305T000000,420000,6,3.0,2290,6344,2.0,0,0,3,7,2290,0,1980,0,47.565,-122.37,1360,3202
6835,Delridge,98106,123039207,20141209T000000,283000,4,2.0,2100,8160,1.0,0,0,3,7,1200,900,1959,0,47.5145,-122.365,1140,8160
994,West Seattle,98116,148000680,20141027T000000,530000,3,1.75,1660,4800,1.0,0,0,3,7,960,700,1941,1996,47.5734,-122.412,1510,4800
5611,Northgate,98133,2026049184,20150320T000000,680000,4,2.5,2440,6581,2.0,0,0,3,8,2440,0,2014,0,47.7321,-122.334,1480,7432
6119,Lake City,98115,2887703155,20150225T000000,642000,6,1.0,1530,4305,1.5,0,0,4,7,1530,0,1921,0,47.6862,-122.31,1530,3800
787,Capitol Hill,98112,5316100220,20150319T000000,1250000,4,2.25,1830,7200,2.0,0,2,3,8,1750,80,1923,0,47.6315,-122.28200000000001,3100,7200
4537,Ballard,98117,3052700432,20141112T000000,490000,3,2.25,1500,1290,2.0,0,0,3,8,1220,280,2006,0,47.6785,-122.375,1460,1375
2421,Seward Park,98118,3336001911,20140728T000000,319000,2,1.0,960,4400,1.0,0,0,4,7,960,0,1951,0,47.5269,-122.264,1520,5000
2411,Seward Park,98118,1112000031,20150318T000000,715000,3,2.25,1990,4977,3.0,0,0,3,9,1990,0,2012,0,47.5404,-122.26799999999999,1280,5000
4425,Ballard,98117,3300701440,20140729T000000,409000,2,1.75,1480,4000,1.0,0,0,4,6,740,740,1925,0,47.6916,-122.38,1060,4000
6210,Lake City,98115,7169500020,20141205T000000,510000,2,2.25,1470,1101,2.0,0,0,3,8,1340,130,2005,0,47.6768,-122.301,1470,1582
4351,Ballard,98117,2856101755,20150504T000000,712000,3,2.0,1700,5100,1.5,0,0,4,7,1500,200,1924,0,47.678999999999995,-122.39,1700,5100
955,West Seattle,98116,2313900165,20140730T000000,479200,3,2.0,1510,3750,1.5,0,0,4,7,1510,0,1928,0,47.5737,-122.383,1500,5000
5102,Northgate,98103,1972201772,20150409T000000,650000,2,2.5,1470,690,3.0,0,3,3,8,1470,0,2008,0,47.6523,-122.346,1480,1284
3074,Rainier Valley,98178,4058200915,20140721T000000,324950,3,1.75,2050,6720,1.0,0,2,3,7,1050,1000,1939,0,47.5058,-122.235,2380,7260
6259,Lake City,98125,9423400193,20141226T000000,473000,3,2.75,1050,7200,1.0,0,0,3,7,1050,0,1985,0,47.7163,-122.303,1860,9000
6132,Lake City,98115,9528102870,20150304T000000,818900,3,1.0,1080,4120,1.0,0,0,3,7,980,100,1919,0,47.6771,-122.319,1280,3090
1038,West Seattle,98116,5742600115,20150407T000000,630000,4,2.0,2480,3680,1.5,0,0,4,7,1470,1010,1916,0,47.5686,-122.39200000000001,1500,5750
